400899387,Raptors,Lakers,123,114
Timofey Mozgov,C,1,24,4-5,0-0,0-0,3,2,5,1,0,1,3,1,-4,8
D'Angelo Russell,PG,1,32,7-20,4-9,2-2,1,4,5,5,2,0,3,1,-11,20
Nick Young,SG,1,30,4-11,3-10,5-5,0,3,3,1,2,0,2,5,-17,16
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Tarik Black,PF,0,11,1-2,0-0,0-0,1,3,4,0,0,0,1,2,+1,2
Larry Nance Jr.,PF,0,12,1-2,0-0,0-0,1,1,2,1,1,0,1,0,-11,2
Brandon Ingram,SF,0,21,3-10,0-3,3-4,1,4,5,2,1,0,1,1,-6,9
Metta World Peace,SF,0,4,0-2,0-1,0-0,0,0,0,0,1,0,0,0,-2,0
Jose Calderon,PG,0,4,0-1,0-1,0-0,0,0,0,0,0,0,1,0,-12,0
Jordan Clarkson,PG,0,29,6-14,0-3,0-0,2,3,5,2,3,0,4,2,-13,12
Lou Williams,SG,0,20,2-7,0-2,3-4,0,1,1,2,1,0,2,1,-7,7
Marcelo Huertas,PG,0,DNP-COACH'S DECISION
TEAM,,,,35-87,7-32,19-24,11,30,41,20,15,2,21,18,,96
 ,,,,40.2%,21.9%,79.2%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Steven Adams,C,1,30,6-12,0-0,2-2,3,9,12,2,3,2,2,2,+13,14
Domantas Sabonis,C,1,7,0-1,0-0,0-0,0,0,0,0,1,1,0,4,-6,0
Russell Westbrook,PG,1,34,11-21,5-6,6-6,4,7,11,16,1,1,7,3,+10,33
Victor Oladipo,SG,1,38,7-20,3-7,3-3,0,1,1,4,1,0,3,3,+25,20
Andre Roberson,SG,1,30,4-7,0-3,0-2,0,5,5,3,1,1,0,0,+9,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ersan Ilyasova,PF,0,26,0-6,0-5,0-0,1,5,6,0,1,1,2,2,+8,0
Kyle Singler,SF,0,18,2-3,0-1,0-0,1,1,2,0,1,0,2,3,+4,4
Joffrey Lauvergne,C,0,8,1-2,0-1,0-0,0,2,2,1,2,0,0,1,+11,2
